"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J7,J6";"PinSocket_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
2;"BT1";"BatteryHolder_Keystone_1042_1x18650";1;"Cell1";;;
3;"C1";"C_1206_3216Metric";1;"0.47u";;;
4;"C2";"C_1206_3216Metric";1;"22u";;;
5;"C3,C5,C6";"C_1206_3216Metric";3;"0.1u";;;
6;"C4";"C_1206_3216Metric";1;"10u";;;
7;"C7";"C_1206_3216Metric";1;"150u";;;
8;"D1";"LED_1206_3216Metric";1;"LED";;;
9;"D2";"D_SMC";1;"B330";;;
10;"J1,J2,J3,J5,J9,J10,J11,J12";"PinSocket_1x01_P2.00mm_Vertical";8;"Conn_01x01_Female";;;
11;"J4";"PinSocket_1x02_P2.00mm_Vertical";1;"Conn_01x02_Female";;;
12;"Q1,Q2";"TDSON-8-1";2;"CSD17307Q5A";;;
13;"Q3";"TSSOP-8_4.4x3mm_P0.65mm";1;"Si6435ADQ";;;
14;"R1";"R_1206_3216Metric";1;"2k";;;
15;"R2,R3";"R_1206_3216Metric";2;"2.2k";;;
16;"R4,R5";"R_1206_3216Metric";2;"5M";;;
17;"R6";"R_1206_3216Metric";1;"59m";;;
18;"R7";"R_1206_3216Metric";1;"330";;;
19;"SW1,SW2,SW3,SW4";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin";4;"SW_Push";;;
20;"TP1,TP2,TP3,TP4,TP5,TP6";"PinHeader_1x01_P2.00mm_Vertical";6;"TestPoint";;;
21;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LTC4002ES8-4.2";;;
22;"U4";"TPS2557";1;"TPS2557";;;
23;"U3";"TSOT-23-6_HandSoldering";1;"LTC6995-1";;;
24;"J8";"PinHeader_1x06_P2.00mm_Vertical";1;"Conn_01x06";;;
